filename;url;qr_path
riccardo_webseite;www.riccardopedace.de;D:\Bilder\QR_Codes_Python
pedace-solution;www.pedace-solution.de;D:\Bilder\QR_Codes_Python
DK-Sunny-19442-169;www.amazon.de/dp/B07PRMJV67;D:\Bilder\QR_Codes_Python
DK-Sunny-19442-68;www.amazon.de/dp/B091TTVPB4;D:\Bilder\QR_Codes_Python
